title,url,author_name,word_count
Peluang julang muzik Borneo,https://www.hmetro.com.my/utama/2024/08/1127725/peluang-julang-muzik-borneo,Georgie Joseph,789
Arif Aiman ziarah Faisal Halim,https://www.hmetro.com.my/utama/2024/08/1127704/arif-aiman-ziarah-faisal-halim,Firdaus Hashim,153
Tidak adil salahkan PSM kualiti padang SNBJ - Iliyas,https://www.hmetro.com.my/utama/2024/08/1127681/tidak-adil-salahkan-psm-kualiti-padang-snbj-iliyas,Firdaus Hashim,385
Dua anggota polis parah tertimbus tanah ketika musnah bom,https://www.hmetro.com.my/utama/2024/08/1127679/dua-anggota-polis-parah-tertimbus-tanah-ketika-musnah-bom,Mohamad Fahd Rahmat,150
'Saya ajar arwah isteri mengucap kalimah syahadah' - Suami,https://www.hmetro.com.my/utama/2024/08/1127580/saya-ajar-arwah-isteri-mengucap-kalimah-syahadah-suami,Alias Abd Rani,388
'Apa kau buat dekat anak buah kami',https://www.hmetro.com.my/utama/2024/08/1127463/apa-kau-buat-dekat-anak-buah-kami,Muhaamad Hafis Nawawi,290
Muhyiddin mengaku tidak bersalah menghasut,https://www.hmetro.com.my/utama/2024/08/1127449/muhyiddin-mengaku-tidak-bersalah-menghasut,Nor Fazlina Abdul Rahim dan Paya Linda Yahya,522
Remaja Orang Asli didakwa bunuh Nuraina Humaira,https://www.hmetro.com.my/utama/2024/08/1127444/remaja-orang-asli-didakwa-bunuh-nuraina-humaira,Muhamad Lokman Khairi,216
Sudah enam kali kemo,https://www.hmetro.com.my/utama/2024/08/1127422/sudah-enam-kali-kemo,Zuliaty Zulkiffli,348
Syukuri nikmat hidup aman damai di Malaysia,https://www.hmetro.com.my/utama/2024/08/1127411/syukuri-nikmat-hidup-aman-damai-di-malaysia,Ramlah Zainal,278
Cukup saya saja faham,https://www.hmetro.com.my/utama/2024/08/1127377/cukup-saya-saja-faham,Norhayati Nordin,662
Final Piala FA hilang seri kerana JDT satu tahap lebih tinggi - Jamal Nasir,https://www.hmetro.com.my/utama/2024/08/1127324/final-piala-fa-hilang-seri-kerana-jdt-satu-tahap-lebih-tinggi-jamal-nasir,Amirul Fazli Zulkafli,301
"Bekas pengendali England, Eriksson meninggal dunia",https://www.hmetro.com.my/utama/2024/08/1127316/bekas-pengendali-england-eriksson-meninggal-dunia,Reuters,102
"Bekas pengendali England, Eriksson meninggal dunia",https://www.hmetro.com.my/utama/2024/08/1127316/bekas-pengendali-england-eriksson-meninggal-dunia,Reuters,102
Suami isteri didakwa cuai sebabkan anak tiga tahun positif dadah,https://www.hmetro.com.my/utama/2024/08/1127213/suami-isteri-didakwa-cuai-sebabkan-anak-tiga-tahun-positif-dadah,BERNAMA,179
Pelajar makin liat ke sekolah,https://www.hmetro.com.my/utama/2024/08/1127063/pelajar-makin-liat-ke-sekolah,Mohd Jamilul Anbia Md Denin dan Nurul Hidayah Bahaudin,490
Tugas MPKj atau JPS?,https://www.hmetro.com.my/utama/2024/08/1127055/tugas-mpkj-atau-jps,Amir Abd Hamid,307
Kita berbeza tetapi bersatu,https://www.hmetro.com.my/utama/2024/08/1127048/kita-berbeza-tetapi-bersatu,Mohammad Khairil Ashraf Mohd Khalid,395
'Pahala ini buat arwah emak',https://www.hmetro.com.my/utama/2024/08/1127033/pahala-ini-buat-arwah-emak,Noor Hidayah Tanzizi,334
Dua negara kongsi pentas,https://www.hmetro.com.my/utama/2024/08/1127025/dua-negara-kongsi-pentas,Najiy Jefri,446
'Nampak air hitam mengalir keluar tepi pintu' - Jiran,https://www.hmetro.com.my/utama/2024/08/1126897/nampak-air-hitam-mengalir-keluar-tepi-pintu-jiran,Alias Abd Rani,385
Sze Fei-Izzuddin juara Terbuka Jepun,https://www.hmetro.com.my/utama/2024/08/1126802/sze-fei-izzuddin-juara-terbuka-jepun,Ferzalfie Fauzi,242
5 hari yang genting,https://www.hmetro.com.my/utama/2024/08/1126759/5-hari-yang-genting,Nor ‘Asyikin Mat Hayin,361
PPR bukan untuk miskin tegar,https://www.hmetro.com.my/utama/2024/08/1126752/ppr-bukan-untuk-miskin-tegar,Hafiz Ithnin,804
Tidur belum tentu bangun,https://www.hmetro.com.my/utama/2024/08/1126746/tidur-belum-tentu-bangun,Mohd Jamilul Anbia Md Denin,387
Karya hebat dua dekad,https://www.hmetro.com.my/utama/2024/08/1126730/karya-hebat-dua-dekad,,490
Buat kerja dengan ikhlas,https://www.hmetro.com.my/utama/2024/08/1126712/buat-kerja-dengan-ikhlas,Ramlah Zainal,529
JDT juara hatrik Piala FA,https://www.hmetro.com.my/utama/2024/08/1126688/jdt-juara-hatrik-piala-fa,Firdaus Hashim &amp; Amirul Fazli Zulkafli,316
"Bapa, anak lelaki OKU ditemui mati dalam rumah",https://www.hmetro.com.my/utama/2024/08/1126576/bapa-anak-lelaki-oku-ditemui-mati-dalam-rumah,Alias Abd Rani,273
